agent-action,agent-action-update,map-update,reward,sum
114,152,75,33,374
118,157,93,43,411
124,159,79,38,400
127,165,81,41,414
130,173,86,42,431
131,175,83,43,432
136,174,87,45,442
135,176,86,46,443
138,181,90,47,456
135,177,119,47,478
139,180,86,51,456
136,183,87,48,454
138,183,87,50,458
138,185,87,50,460
140,190,87,50,467
138,184,90,50,462
140,185,86,53,464
140,186,87,50,463
143,187,96,51,477
140,187,87,51,465
143,192,89,51,475
144,190,90,51,475
145,191,90,51,477
143,193,91,53,480
145,193,90,52,480
