agent-action,agent-action-update,map-update,reward,sum
1180,540,837,74,2631
1179,571,744,85,2579
1177,572,713,89,2551
1212,588,784,99,2683
1205,584,788,94,2671
1190,587,746,96,2619
1180,570,1060,78,2888
1206,584,809,101,2700
1240,590,747,104,2681
1220,593,788,92,2693
1250,613,790,86,2739
1220,587,805,102,2714
1190,589,822,91,2692
1230,593,822,89,2734
1175,594,768,89,2626
1233,595,828,95,2751
1179,605,814,88,2686
1235,605,821,93,2754
1221,600,790,98,2709
1227,602,799,92,2720
1194,596,1460,95,3345
1199,598,792,102,2691
1206,590,782,94,2672
1241,627,825,105,2798
1207,601,787,89,2684
