agent-action,agent-action-update,map-update,reward,sum
1791,920,845,337,3893
1936,993,716,369,4014
1923,1066,758,391,4138
1968,1151,744,419,4282
2189,1165,801,463,4618
2090,1215,779,445,4529
2192,1335,1163,465,5155
2151,1327,825,478,4781
2177,1338,850,512,4877
2125,1305,879,525,4834
2151,1288,781,493,4713
2111,1219,799,502,4631
2159,1311,836,502,4808
2221,1336,839,641,5037
2189,1242,779,558,4768
2155,1264,796,513,4728
2135,1281,840,518,4774
2128,1255,786,520,4689
2124,1259,789,521,4693
2127,1266,778,530,4701
2112,1261,1400,523,5296
2106,1261,777,529,4673
2116,1265,776,530,4687
2115,1288,771,531,4705
2128,1265,766,532,4691
