agent-action,agent-action-update,map-update,reward,sum
1434,584,1075,37,3130
1329,614,931,40,2914
1342,618,958,42,2960
1395,622,956,43,3016
1353,623,965,45,2986
1342,627,974,52,2995
1357,619,1354,46,3376
1394,625,973,47,3039
1363,622,965,48,2998
1361,624,968,49,3002
1344,623,971,49,2987
1342,629,975,49,2995
1343,622,974,50,2989
1357,625,980,50,3012
1360,623,985,50,3018
1352,631,984,51,3018
1352,624,1029,51,3056
1384,632,990,51,3057
1350,626,987,51,3014
1338,624,984,52,2998
1365,627,1779,51,3822
1368,630,991,52,3041
1363,625,991,52,3031
1364,625,994,52,3035
1355,628,986,52,3021
