agent-action,agent-action-update,map-update,reward,sum
1747,588,1068,38,3441
1301,607,928,42,2878
1311,599,947,44,2901
1303,602,955,45,2905
1302,608,966,49,2925
1308,599,976,49,2932
1296,603,1349,49,3297
1307,595,970,50,2922
1304,603,970,51,2928
1316,604,966,53,2939
1297,605,974,55,2931
1322,620,975,53,2970
1323,620,979,56,2978
1300,618,983,54,2955
1310,602,986,54,2952
1305,611,985,54,2955
1303,613,986,55,2957
1298,612,990,56,2956
1297,617,986,55,2955
1296,611,991,55,2953
1279,610,1762,55,3706
1296,618,982,58,2954
1305,610,979,57,2951
1313,613,978,58,2962
1284,599,973,56,2912
1295,619,979,58,2951
1304,611,1005,58,2978
1281,616,985,56,2938
1291,618,983,56,2948
1293,598,992,57,2940
1298,608,986,59,2951
1289,624,984,57,2954
1300,622,986,56,2964
1292,613,988,60,2953
1295,607,980,56,2938
1301,621,987,59,2968
1300,612,979,57,2948
1322,622,988,57,2989
1306,607,981,56,2950
1312,621,987,57,2977
1307,619,985,57,2968
1306,615,994,57,2972
1309,619,990,56,2974
1299,625,993,57,2974
1308,609,991,57,2965
1299,623,994,56,2972
1299,615,988,57,2959
1299,625,2606,57,4587
1305,613,989,59,2966
1285,602,983,56,2926
1290,624,978,57,2949
1306,624,975,56,2961
1318,629,978,57,2982
1301,614,976,58,2949
1317,605,975,59,2956
1298,605,976,58,2937
1305,610,975,57,2947
1279,610,971,58,2918
1297,605,971,60,2933
1302,610,977,60,2949
1296,615,989,58,2958
1301,604,972,57,2934
1297,614,974,57,2942
1317,619,993,58,2987
1297,618,972,57,2944
1310,616,978,58,2962
1305,601,975,58,2939
1319,609,981,57,2966
1317,618,985,58,2978
1294,616,982,58,2950
1309,611,982,60,2962
1294,627,983,57,2961
1314,612,983,60,2969
1334,614,985,57,2990
1292,608,1011,57,2968
1330,607,1413,58,3408
1310,603,984,57,2954
1291,609,986,57,2943
1300,625,1000,57,2982
1313,635,993,57,2998
1301,616,991,57,2965
1308,617,992,57,2974
1280,621,994,57,2952
1300,607,1003,57,2967
1319,612,1000,60,2991
1299,625,999,58,2981
1294,601,994,58,2947
1283,619,999,60,2961
1281,616,1005,57,2959
1305,609,1002,57,2973
1292,612,1003,60,2967
1293,606,1020,58,2977
1294,601,1006,59,2960
1310,612,1005,61,2988
1310,608,1005,59,2982
1291,617,1003,58,2969
1307,611,1007,58,2983
1307,621,1006,58,2992
1291,612,1008,60,2971
1312,606,1000,58,2976
