agent-action,agent-action-update,map-update,reward,sum
106,43,65,27,241
105,47,79,30,261
107,45,67,32,251
103,48,70,37,258
109,48,68,36,261
105,49,68,37,259
106,48,70,38,262
108,49,69,40,266
109,48,70,39,266
105,48,94,40,287
107,47,72,43,269
108,49,70,41,268
104,51,78,42,275
109,49,66,41,265
104,49,74,43,270
111,49,73,43,276
109,49,76,43,277
110,50,77,44,281
109,50,77,44,280
108,49,75,43,275
108,50,76,43,277
111,49,77,44,281
109,48,78,47,282
109,49,78,43,279
111,48,81,44,284
111,49,138,43,341
108,53,76,44,281
107,52,70,47,276
108,48,70,43,269
105,49,67,43,264
105,49,68,44,266
109,48,66,47,270
107,49,75,45,276
114,48,74,44,280
108,50,77,48,283
109,51,77,44,281
129,51,75,45,300
111,48,78,46,283
112,49,68,44,273
105,50,70,51,276
107,51,67,44,269
106,53,68,45,272
106,51,67,44,268
106,63,67,44,280
105,50,69,44,268
108,51,67,47,273
105,53,69,44,271
105,49,67,44,265
108,50,74,47,279
105,51,67,44,267
106,50,68,44,268
105,51,70,47,273
105,52,68,44,269
107,52,68,45,272
110,49,67,44,270
106,52,68,44,270
106,50,67,44,267
108,50,202,44,404
105,52,68,50,275
107,50,68,44,269
105,49,68,44,266
106,48,69,47,270
108,51,67,44,270
107,48,67,44,266
106,51,66,44,267
109,49,66,44,268
106,52,66,44,268
106,50,67,44,267
107,50,69,45,271
105,52,69,44,270
106,50,66,44,266
105,52,67,44,268
108,52,67,45,272
107,50,66,44,267
109,53,67,50,279
106,50,70,45,271
113,49,66,44,272
111,50,68,45,274
104,51,67,44,266
107,51,67,45,270
109,53,66,46,274
104,51,66,44,265
109,51,70,48,278
104,49,67,44,264
108,50,66,44,268
104,52,71,44,271
111,50,70,44,275
107,50,71,44,272
111,49,70,44,274
109,50,71,44,274
107,50,71,48,276
109,51,72,44,276
108,50,71,44,273
117,49,70,47,283
108,50,71,44,273
112,47,76,47,282
110,52,77,45,284
112,51,77,45,285
112,51,77,45,285
109,50,77,47,283
